Weight (lbs):,111.13026281173174
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.22,-0.88,3353,0.96,7186
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.13,-0.79,7186,0.62,7020
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.28,0.00,19978,1.24,7186
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.92,-6.49,6895,9.90,7061
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.36,-14,7103,7.31,7270
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.06,0.00,19978,16,7103
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.03,-0.37,3811,0.04,7561
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.07,-0.29,19978,0.13,7103
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.19,0.00,0,0.38,978
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.25,0.00,19978,1.31,7145
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.23,0.00,19978,0.32,6978
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.25,0.00,19978,1.31,7145
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.09,0.37,6895,2.19,7061
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.10,0.00,19978,0.81,7270
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.09,0.58,6853,2.19,7061
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,1.09
2,0.02,-0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,1.09
3,0.06,-0.03,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,1.09
4,0.10,-0.10,0.04,0.11,-2.20,0.38,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.04,0.85
5,0.14,-0.21,0.05,0.22,-3.21,0.53,3.25,-0.00,0.00,0.01,0.00,0.00,0.00,0.73,0.06,0.74
6,0.19,-0.36,0.08,0.37,-3.86,0.54,3.90,-0.01,0.01,0.02,0.00,0.00,0.00,0.66,0.06,0.66
7,0.23,-0.52,0.10,0.53,-3.70,0.49,3.74,-0.03,0.01,0.04,0.00,0.01,0.01,0.68,0.05,0.68
8,0.27,-0.66,0.12,0.67,-2.71,0.42,2.74,-0.06,0.02,0.06,0.00,0.01,0.01,0.79,0.05,0.79
9,0.31,-0.74,0.14,0.76,-1.34,0.44,1.41,-0.09,0.02,0.09,0.00,0.01,0.01,0.94,0.05,0.94
10,0.35,-0.77,0.15,0.79,0.01,0.44,0.44,-0.13,0.03,0.13,0.00,0.01,0.01,1.09,0.05,1.09
11,0.40,-0.75,0.17,0.77,1.02,0.30,1.06,-0.16,0.03,0.16,0.00,0.01,0.01,1.20,0.03,1.20
12,0.44,-0.70,0.18,0.72,1.47,0.14,1.48,-0.19,0.04,0.19,0.00,0.00,0.00,1.25,0.02,1.25
13,0.48,-0.63,0.18,0.65,1.68,-0.07,1.68,-0.22,0.05,0.22,0.00,0.00,0.00,1.28,0.00,1.28
14,0.52,-0.56,0.17,0.58,1.72,-0.29,1.74,-0.24,0.06,0.25,0.00,0.00,0.00,1.28,0.00,1.28
15,0.56,-0.49,0.16,0.52,1.50,-0.37,1.55,-0.26,0.06,0.27,0.00,0.00,0.00,1.26,0.00,1.26
16,0.60,-0.43,0.14,0.46,1.25,-0.32,1.29,-0.28,0.07,0.29,0.00,0.00,0.00,1.23,0.00,1.23
17,0.65,-0.39,0.13,0.41,1.03,-0.24,1.06,-0.30,0.08,0.31,0.00,0.00,0.00,1.20,0.00,1.20
18,0.69,-0.35,0.12,0.37,0.83,-0.25,0.87,-0.31,0.08,0.32,0.00,0.00,0.00,1.18,0.00,1.18
19,0.73,-0.31,0.11,0.33,0.92,-0.40,1.00,-0.33,0.09,0.34,0.00,0.00,0.00,1.19,0.00,1.19
20,0.77,-0.27,0.09,0.28,1.15,-0.46,1.24,-0.34,0.09,0.35,0.00,0.00,0.00,1.22,0.00,1.22
21,0.81,-0.22,0.07,0.23,1.32,-0.36,1.37,-0.35,0.09,0.36,0.00,0.00,0.00,1.24,0.00,1.24
22,0.85,-0.16,0.06,0.17,1.43,-0.29,1.46,-0.36,0.10,0.37,0.00,0.00,0.00,1.25,0.00,1.25
23,0.90,-0.10,0.05,0.11,1.38,-0.33,1.42,-0.36,0.10,0.38,0.00,0.00,0.00,1.24,0.00,1.24
24,0.94,-0.05,0.03,0.06,1.14,-0.38,1.21,-0.37,0.10,0.38,0.00,0.00,0.00,1.22,0.00,1.22
25,0.98,-0.01,0.02,0.02,0.79,-0.34,0.85,-0.37,0.10,0.38,0.00,0.00,0.00,1.18,0.00,1.18
26,1.02,0.02,0.01,0.02,0.48,-0.14,0.50,-0.37,0.10,0.38,0.02,0.00,0.02,1.14,0.00,1.14
27,1.06,0.04,0.00,0.04,0.39,-0.02,0.39,-0.37,0.10,0.38,0.04,0.00,0.04,1.13,0.00,1.13
28,1.10,0.06,0.00,0.06,0.57,-0.10,0.58,-0.36,0.10,0.38,0.06,0.00,0.06,1.15,0.00,1.15
29,1.15,0.09,-0.01,0.09,0.89,-0.24,0.92,-0.36,0.10,0.38,0.10,0.00,0.10,1.19,0.00,1.19
30,1.19,0.13,-0.02,0.13,1.13,-0.26,1.16,-0.36,0.10,0.37,0.16,0.00,0.16,1.22,0.00,1.22
31,1.23,0.18,-0.02,0.18,1.09,-0.10,1.10,-0.35,0.10,0.37,0.21,0.00,0.21,1.21,0.00,1.21
32,1.27,0.22,-0.02,0.22,0.94,0.07,0.94,-0.34,0.10,0.36,0.26,0.00,0.26,1.19,0.01,1.19
33,1.31,0.26,-0.02,0.26,0.87,0.01,0.87,-0.33,0.10,0.35,0.30,0.00,0.30,1.19,0.00,1.19
34,1.35,0.29,-0.03,0.29,0.85,-0.16,0.86,-0.32,0.10,0.34,0.34,0.00,0.34,1.18,0.00,1.18
35,1.40,0.33,-0.03,0.33,0.76,-0.19,0.79,-0.31,0.10,0.32,0.38,0.00,0.38,1.17,0.00,1.17
36,1.44,0.35,-0.04,0.36,0.55,-0.09,0.56,-0.29,0.09,0.31,0.41,0.00,0.41,1.15,0.00,1.15
37,1.48,0.37,-0.04,0.37,0.29,0.03,0.29,-0.28,0.09,0.29,0.42,0.00,0.42,1.12,0.00,1.12
38,1.52,0.38,-0.04,0.38,0.31,-0.06,0.32,-0.26,0.09,0.28,0.43,0.00,0.43,1.12,0.00,1.12
39,1.56,0.40,-0.05,0.40,0.53,-0.35,0.64,-0.25,0.09,0.26,0.46,0.00,0.46,1.15,0.00,1.15
40,1.60,0.42,-0.07,0.43,0.49,-0.48,0.69,-0.23,0.09,0.25,0.48,0.00,0.48,1.14,0.00,1.14
41,1.65,0.44,-0.08,0.45,0.24,-0.30,0.39,-0.21,0.08,0.23,0.49,0.00,0.49,1.12,0.00,1.12
42,1.69,0.44,-0.09,0.45,-0.01,-0.06,0.06,-0.19,0.08,0.21,0.48,0.00,0.48,1.09,0.00,1.09
43,1.73,0.44,-0.09,0.45,-0.11,0.04,0.12,-0.17,0.08,0.19,0.47,0.00,0.47,1.08,0.00,1.08
44,1.77,0.44,-0.09,0.45,0.16,-0.08,0.18,-0.16,0.07,0.17,0.49,0.00,0.49,1.11,0.00,1.11
45,1.81,0.45,-0.10,0.46,0.48,-0.26,0.55,-0.14,0.07,0.15,0.52,0.00,0.52,1.14,0.00,1.14
46,1.85,0.47,-0.11,0.49,0.46,-0.26,0.53,-0.12,0.06,0.14,0.54,0.00,0.54,1.14,0.00,1.14
47,1.90,0.49,-0.12,0.50,0.25,-0.12,0.27,-0.10,0.06,0.11,0.55,0.00,0.55,1.12,0.00,1.12
48,1.94,0.49,-0.12,0.51,-0.01,0.03,0.03,-0.08,0.05,0.09,0.54,0.00,0.54,1.09,0.00,1.09
49,1.98,0.49,-0.12,0.50,-0.32,0.16,0.36,-0.06,0.05,0.07,0.51,0.00,0.51,1.05,0.02,1.05
50,2.02,0.47,-0.11,0.48,-0.66,0.22,0.70,-0.04,0.04,0.06,0.47,0.00,0.47,1.02,0.02,1.02
51,2.06,0.43,-0.10,0.44,-1.19,0.20,1.20,-0.02,0.04,0.04,0.41,0.00,0.41,0.96,0.02,0.96
52,2.10,0.36,-0.09,0.37,-2.06,0.22,2.07,0.00,0.04,0.04,0.31,0.00,0.31,0.86,0.02,0.86
53,2.15,0.26,-0.08,0.27,-2.82,0.25,2.84,0.02,0.03,0.04,0.20,0.00,0.20,0.78,0.03,0.78
54,2.19,0.14,-0.07,0.16,-2.81,0.25,2.82,0.03,0.03,0.04,0.11,0.00,0.11,0.78,0.03,0.78
55,2.23,0.03,-0.06,0.07,-2.05,0.30,2.07,0.03,0.03,0.04,0.03,0.00,0.03,0.86,0.03,0.86
56,2.27,-0.03,-0.04,0.05,-0.88,0.41,0.97,0.02,0.02,0.03,0.00,0.00,0.00,0.99,0.05,0.99
57,2.31,-0.04,-0.03,0.05,0.21,0.47,0.51,0.02,0.02,0.03,0.00,0.00,0.00,1.11,0.05,1.11
58,2.35,-0.02,-0.01,0.02,0.69,0.42,0.80,0.02,0.02,0.03,0.00,0.00,0.00,1.17,0.05,1.17
59,2.40,0.01,0.01,0.01,0.64,0.16,0.66,0.02,0.02,0.03,0.01,0.00,0.01,1.16,0.02,1.16
60,2.44,0.03,0.01,0.03,0.45,-0.15,0.47,0.02,0.02,0.03,0.04,0.00,0.04,1.14,0.00,1.14
61,2.48,0.05,-0.00,0.05,0.11,-0.21,0.24,0.02,0.02,0.03,0.05,0.00,0.05,1.10,0.00,1.10
62,2.52,0.04,-0.01,0.04,-0.21,-0.07,0.22,0.03,0.02,0.03,0.05,0.00,0.05,1.07,0.00,1.07
63,2.56,0.03,-0.01,0.03,-0.34,0.08,0.35,0.03,0.02,0.03,0.03,0.00,0.03,1.05,0.01,1.05
64,2.60,0.02,-0.00,0.02,-0.37,0.07,0.37,0.03,0.02,0.04,0.02,0.00,0.02,1.05,0.01,1.05
65,2.65,0.00,-0.00,0.01,-0.28,-0.10,0.30,0.03,0.02,0.04,0.00,0.00,0.00,1.06,0.00,1.06
66,2.69,-0.01,-0.01,0.01,-0.13,-0.17,0.21,0.03,0.02,0.04,0.00,0.00,0.00,1.08,0.00,1.08
67,2.73,-0.01,-0.02,0.02,0.02,-0.04,0.04,0.03,0.02,0.03,0.00,0.00,0.00,1.09,0.00,1.09
68,2.77,-0.00,-0.01,0.02,0.15,0.10,0.18,0.03,0.02,0.03,0.00,0.00,0.00,1.11,0.01,1.11
69,2.81,0.00,-0.01,0.01,0.12,0.15,0.19,0.03,0.02,0.03,0.00,0.00,0.00,1.10,0.02,1.10
70,2.85,0.00,-0.00,0.00,-0.08,0.18,0.20,0.03,0.02,0.03,0.00,0.00,0.00,1.08,0.02,1.08
71,2.90,-0.00,0.01,0.01,-0.24,0.17,0.30,0.03,0.02,0.03,0.00,0.00,0.00,1.06,0.02,1.06
72,2.94,-0.02,0.01,0.02,-0.32,0.17,0.36,0.03,0.02,0.03,0.00,0.00,0.00,1.05,0.02,1.05
73,2.98,-0.03,0.02,0.04,-0.31,0.21,0.37,0.03,0.02,0.03,0.00,0.00,0.00,1.06,0.02,1.06
74,3.02,-0.04,0.03,0.05,-0.30,0.14,0.34,0.02,0.02,0.03,0.00,0.00,0.00,1.06,0.02,1.06
75,3.06,-0.06,0.03,0.07,-0.67,0.05,0.67,0.02,0.02,0.03,0.00,0.00,0.00,1.02,0.01,1.02
76,3.10,-0.11,0.03,0.11,-1.63,0.08,1.64,0.02,0.02,0.03,0.00,0.00,0.00,0.91,0.01,0.91
77,3.15,-0.20,0.04,0.21,-3.01,0.13,3.01,0.02,0.03,0.03,0.00,0.00,0.00,0.76,0.01,0.76
78,3.19,-0.35,0.05,0.36,-4.18,0.24,4.19,0.01,0.03,0.03,0.00,0.00,0.00,0.63,0.03,0.63
79,3.23,-0.54,0.06,0.54,-4.46,0.40,4.48,-0.01,0.03,0.03,0.00,0.00,0.00,0.59,0.04,0.60
80,3.27,-0.71,0.08,0.71,-3.65,0.39,3.67,-0.04,0.03,0.05,0.00,0.00,0.00,0.68,0.04,0.69
81,3.31,-0.83,0.09,0.84,-2.10,0.25,2.11,-0.07,0.04,0.08,0.00,0.00,0.00,0.86,0.03,0.86
82,3.35,-0.88,0.10,0.89,-0.39,0.10,0.40,-0.11,0.04,0.12,0.00,0.00,0.00,1.05,0.01,1.05
83,3.40,-0.87,0.10,0.88,0.87,0.04,0.87,-0.15,0.04,0.16,0.00,0.00,0.00,1.19,0.00,1.19
84,3.44,-0.82,0.10,0.82,1.61,0.09,1.62,-0.19,0.05,0.19,0.00,0.00,0.00,1.27,0.01,1.27
85,3.48,-0.74,0.11,0.75,1.96,0.13,1.97,-0.22,0.05,0.23,0.00,0.00,0.00,1.31,0.01,1.31
86,3.52,-0.66,0.11,0.67,1.89,0.06,1.89,-0.25,0.06,0.26,0.00,0.00,0.00,1.30,0.01,1.30
87,3.56,-0.59,0.11,0.60,1.68,-0.13,1.68,-0.27,0.06,0.28,0.00,0.00,0.00,1.28,0.00,1.28
88,3.60,-0.52,0.10,0.53,1.53,-0.34,1.57,-0.30,0.07,0.30,0.00,0.00,0.00,1.26,0.00,1.26
89,3.65,-0.46,0.08,0.47,1.51,-0.51,1.59,-0.32,0.07,0.33,0.00,0.00,0.00,1.26,0.00,1.26
90,3.69,-0.39,0.06,0.39,1.84,-0.68,1.96,-0.34,0.07,0.34,0.00,0.00,0.00,1.29,0.00,1.29
91,3.73,-0.30,0.03,0.30,2.57,-0.79,2.69,-0.35,0.08,0.36,0.00,0.00,0.00,1.38,0.00,1.38
92,3.77,-0.18,-0.00,0.18,3.31,-0.72,3.39,-0.36,0.08,0.37,0.00,0.00,0.00,1.46,0.00,1.46
93,3.81,-0.03,-0.03,0.04,3.54,-0.55,3.58,-0.37,0.08,0.38,0.00,0.00,0.00,1.48,0.00,1.48
94,3.85,0.11,-0.05,0.12,3.07,-0.38,3.09,-0.37,0.07,0.37,0.16,0.00,0.16,1.43,0.00,1.43
95,3.90,0.22,-0.06,0.23,2.17,-0.18,2.17,-0.36,0.07,0.36,0.29,0.00,0.29,1.33,0.00,1.33
96,3.94,0.29,-0.07,0.30,1.33,-0.04,1.33,-0.34,0.07,0.35,0.36,0.00,0.36,1.24,0.00,1.24
97,3.98,0.33,-0.07,0.34,0.83,0.03,0.83,-0.33,0.07,0.34,0.39,0.00,0.39,1.18,0.00,1.18
98,4.02,0.36,-0.06,0.37,0.55,0.16,0.57,-0.32,0.06,0.32,0.42,0.00,0.42,1.15,0.02,1.15
99,4.06,0.38,-0.05,0.39,0.34,0.19,0.39,-0.30,0.06,0.31,0.43,0.00,0.43,1.13,0.02,1.13
100,4.10,0.39,-0.05,0.40,0.24,0.13,0.27,-0.28,0.06,0.29,0.44,0.00,0.44,1.12,0.01,1.12
101,4.14,0.40,-0.04,0.41,0.29,0.11,0.31,-0.27,0.06,0.27,0.45,0.00,0.45,1.12,0.01,1.12
102,4.19,0.42,-0.04,0.42,0.29,0.08,0.30,-0.25,0.05,0.26,0.47,0.00,0.47,1.12,0.01,1.12
103,4.23,0.43,-0.04,0.43,0.14,0.06,0.15,-0.23,0.05,0.24,0.47,0.00,0.47,1.11,0.01,1.11
104,4.27,0.43,-0.03,0.43,0.03,0.03,0.04,-0.21,0.05,0.22,0.47,0.00,0.47,1.09,0.00,1.09
105,4.31,0.43,-0.03,0.43,0.08,-0.07,0.11,-0.20,0.05,0.20,0.47,0.00,0.47,1.10,0.00,1.10
106,4.35,0.44,-0.04,0.44,0.16,-0.20,0.26,-0.18,0.05,0.19,0.48,0.00,0.48,1.11,0.00,1.11
107,4.39,0.44,-0.05,0.44,0.04,-0.23,0.24,-0.16,0.05,0.17,0.48,0.00,0.48,1.09,0.00,1.09
108,4.44,0.44,-0.06,0.44,-0.21,-0.14,0.25,-0.14,0.05,0.15,0.47,0.00,0.47,1.07,0.00,1.07
109,4.48,0.43,-0.06,0.43,-0.27,-0.03,0.27,-0.12,0.04,0.13,0.45,0.00,0.45,1.06,0.00,1.06
110,4.52,0.42,-0.06,0.42,-0.16,0.01,0.16,-0.11,0.04,0.11,0.45,0.00,0.45,1.07,0.00,1.07
111,4.56,0.41,-0.06,0.42,-0.08,-0.02,0.08,-0.09,0.04,0.10,0.45,0.00,0.45,1.08,0.00,1.08
112,4.60,0.41,-0.06,0.42,-0.04,-0.08,0.09,-0.07,0.03,0.08,0.45,0.00,0.45,1.09,0.00,1.09
113,4.64,0.41,-0.07,0.41,-0.12,-0.06,0.13,-0.05,0.03,0.06,0.44,0.00,0.44,1.08,0.00,1.08
114,4.69,0.40,-0.07,0.41,-0.19,0.02,0.19,-0.04,0.03,0.05,0.43,0.00,0.43,1.07,0.00,1.07
115,4.73,0.39,-0.06,0.40,-0.37,0.11,0.38,-0.02,0.03,0.03,0.41,0.00,0.41,1.05,0.01,1.05
116,4.77,0.36,-0.06,0.37,-0.96,0.18,0.98,-0.00,0.02,0.02,0.36,0.00,0.36,0.98,0.02,0.98
117,4.81,0.31,-0.05,0.31,-1.73,0.11,1.74,0.01,0.02,0.02,0.28,0.00,0.28,0.90,0.01,0.90
118,4.85,0.22,-0.05,0.23,-2.18,-0.03,2.18,0.02,0.02,0.03,0.19,0.00,0.19,0.85,0.00,0.85
119,4.89,0.13,-0.05,0.14,-2.20,-0.05,2.20,0.03,0.02,0.04,0.11,0.00,0.11,0.85,0.00,0.85
120,4.94,0.05,-0.05,0.07,-1.78,0.02,1.78,0.03,0.02,0.04,0.04,0.00,0.04,0.89,0.00,0.89
121,4.98,-0.01,-0.05,0.05,-1.07,0.13,1.08,0.03,0.01,0.04,0.00,0.00,0.00,0.97,0.01,0.97
122,5.02,-0.04,-0.04,0.06,-0.38,0.21,0.44,0.03,0.01,0.03,0.00,0.00,0.00,1.05,0.02,1.05
123,5.06,-0.05,-0.03,0.06,0.13,0.15,0.20,0.03,0.01,0.03,0.00,0.00,0.00,1.10,0.02,1.10
124,5.10,-0.04,-0.03,0.05,0.31,0.04,0.31,0.03,0.01,0.03,0.00,0.00,0.00,1.12,0.00,1.12
125,5.14,-0.03,-0.03,0.04,0.12,0.03,0.12,0.02,0.01,0.03,0.00,0.00,0.00,1.10,0.00,1.10
126,5.19,-0.03,-0.03,0.04,-0.07,0.08,0.11,0.02,0.01,0.03,0.00,0.00,0.00,1.08,0.01,1.08
127,5.23,-0.03,-0.02,0.04,-0.05,0.11,0.12,0.02,0.00,0.02,0.00,0.00,0.00,1.08,0.01,1.08
128,5.27,-0.03,-0.02,0.04,0.05,0.09,0.10,0.02,0.00,0.02,0.00,0.00,0.00,1.10,0.01,1.10
129,5.31,-0.02,-0.02,0.03,0.20,0.08,0.22,0.02,0.00,0.02,0.00,0.00,0.00,1.11,0.01,1.11
130,5.35,-0.02,-0.01,0.02,0.25,0.10,0.27,0.02,0.00,0.02,0.00,0.00,0.00,1.12,0.01,1.12
131,5.39,-0.01,-0.01,0.01,0.13,0.16,0.21,0.02,0.00,0.02,0.00,0.00,0.00,1.10,0.02,1.10
132,5.44,-0.00,0.00,0.00,-0.03,0.17,0.17,0.02,0.00,0.02,0.00,0.00,0.00,1.09,0.02,1.09
133,5.48,-0.01,0.01,0.01,-0.32,0.06,0.33,0.02,0.00,0.02,0.00,0.00,0.00,1.05,0.01,1.05
134,5.52,-0.03,0.01,0.04,-0.81,0.03,0.81,0.02,0.00,0.02,0.00,0.00,0.00,1.00,0.00,1.00
135,5.56,-0.08,0.01,0.08,-1.39,0.17,1.40,0.02,0.00,0.02,0.00,0.00,0.00,0.94,0.02,0.94
136,5.60,-0.15,0.02,0.15,-2.07,0.39,2.11,0.01,0.00,0.01,0.00,0.00,0.00,0.86,0.04,0.86
137,5.64,-0.25,0.04,0.26,-2.80,0.50,2.84,0.01,0.00,0.01,0.00,0.00,0.00,0.78,0.06,0.78
138,5.69,-0.38,0.06,0.39,-3.29,0.49,3.32,-0.01,0.01,0.01,0.00,0.00,0.00,0.73,0.05,0.73
139,5.73,-0.52,0.08,0.53,-3.26,0.48,3.29,-0.02,0.01,0.03,0.00,0.00,0.00,0.73,0.05,0.73
140,5.77,-0.64,0.10,0.65,-2.67,0.57,2.73,-0.05,0.01,0.05,0.00,0.01,0.01,0.79,0.06,0.80
141,5.81,-0.74,0.13,0.75,-1.62,0.70,1.76,-0.08,0.02,0.08,0.00,0.01,0.01,0.91,0.08,0.91
142,5.85,-0.78,0.16,0.79,-0.40,0.72,0.82,-0.11,0.02,0.12,0.00,0.01,0.01,1.05,0.08,1.05
143,5.89,-0.77,0.19,0.79,0.60,0.53,0.80,-0.15,0.03,0.15,0.00,0.01,0.01,1.16,0.06,1.16
